,STATION,Day,Time_Range,Total_Traffic
11613,METROPOLITAN AV,Sunday,12:00 to 16:00,3418.0
11614,METROPOLITAN AV,Sunday,16:00 to 20:00,3256.5
11615,METROPOLITAN AV,Sunday,20:00 to 00:00,1735.75
11616,METROPOLITAN AV,Thursday,00:00 to 04:00,473.25
11617,METROPOLITAN AV,Thursday,04:00 to 08:00,4199.0
11618,METROPOLITAN AV,Thursday,08:00 to 12:00,3782.5
11619,METROPOLITAN AV,Thursday,12:00 to 16:00,3935.0
11620,METROPOLITAN AV,Thursday,16:00 to 20:00,6213.5
11621,METROPOLITAN AV,Thursday,20:00 to 00:00,3113.0
11622,METROPOLITAN AV,Tuesday,00:00 to 04:00,449.0
11623,METROPOLITAN AV,Tuesday,04:00 to 08:00,4909.0
11624,METROPOLITAN AV,Tuesday,08:00 to 12:00,4043.0
11625,METROPOLITAN AV,Tuesday,12:00 to 16:00,4300.0
11626,METROPOLITAN AV,Tuesday,16:00 to 20:00,6210.25
11627,METROPOLITAN AV,Tuesday,20:00 to 00:00,2680.75
11628,METROPOLITAN AV,Wednesday,00:00 to 04:00,481.25
11629,METROPOLITAN AV,Wednesday,04:00 to 08:00,4399.5
11630,METROPOLITAN AV,Wednesday,08:00 to 12:00,3775.25
11631,METROPOLITAN AV,Wednesday,12:00 to 16:00,4103.25
11632,METROPOLITAN AV,Wednesday,16:00 to 20:00,6241.0
11633,METROPOLITAN AV,Wednesday,20:00 to 00:00,2857.0
11634,METS-WILLETS PT,Friday,00:00 to 04:00,86.75
11635,METS-WILLETS PT,Friday,04:00 to 08:00,849.75
11636,METS-WILLETS PT,Friday,08:00 to 12:00,700.0
11637,METS-WILLETS PT,Friday,12:00 to 16:00,1456.25
11638,METS-WILLETS PT,Friday,16:00 to 20:00,2359.25
11639,METS-WILLETS PT,Friday,20:00 to 00:00,1315.25
11640,METS-WILLETS PT,Monday,00:00 to 04:00,70.25
11641,METS-WILLETS PT,Monday,04:00 to 08:00,1299.75
11642,METS-WILLETS PT,Monday,08:00 to 12:00,1044.0
11643,METS-WILLETS PT,Monday,12:00 to 16:00,1666.75
11644,METS-WILLETS PT,Monday,16:00 to 20:00,2996.5
11645,METS-WILLETS PT,Monday,20:00 to 00:00,2147.5
11646,METS-WILLETS PT,Saturday,00:00 to 04:00,70.75
11647,METS-WILLETS PT,Saturday,04:00 to 08:00,481.75
11648,METS-WILLETS PT,Saturday,08:00 to 12:00,1025.0
11649,METS-WILLETS PT,Saturday,12:00 to 16:00,2058.0
11650,METS-WILLETS PT,Saturday,16:00 to 20:00,3633.5
11651,METS-WILLETS PT,Saturday,20:00 to 00:00,3544.5
11652,METS-WILLETS PT,Sunday,00:00 to 04:00,66.0
11653,METS-WILLETS PT,Sunday,04:00 to 08:00,566.25
11654,METS-WILLETS PT,Sunday,08:00 to 12:00,4022.0
11655,METS-WILLETS PT,Sunday,12:00 to 16:00,7314.0
11656,METS-WILLETS PT,Sunday,16:00 to 20:00,2186.0
11657,METS-WILLETS PT,Sunday,20:00 to 00:00,180.0
11658,METS-WILLETS PT,Thursday,00:00 to 04:00,102.0
11659,METS-WILLETS PT,Thursday,04:00 to 08:00,1538.5
11660,METS-WILLETS PT,Thursday,08:00 to 12:00,1114.25
11661,METS-WILLETS PT,Thursday,12:00 to 16:00,2045.0
11662,METS-WILLETS PT,Thursday,16:00 to 20:00,2935.25
11663,METS-WILLETS PT,Thursday,20:00 to 00:00,1242.25
11664,METS-WILLETS PT,Tuesday,00:00 to 04:00,93.25
11665,METS-WILLETS PT,Tuesday,04:00 to 08:00,1395.0
11666,METS-WILLETS PT,Tuesday,08:00 to 12:00,1059.75
11667,METS-WILLETS PT,Tuesday,12:00 to 16:00,2069.25
11668,METS-WILLETS PT,Tuesday,16:00 to 20:00,4468.5
11669,METS-WILLETS PT,Tuesday,20:00 to 00:00,3227.5
11670,METS-WILLETS PT,Wednesday,00:00 to 04:00,103.25
11671,METS-WILLETS PT,Wednesday,04:00 to 08:00,1437.875
11672,METS-WILLETS PT,Wednesday,08:00 to 12:00,2300.875
11673,METS-WILLETS PT,Wednesday,12:00 to 16:00,3314.0
11674,METS-WILLETS PT,Wednesday,16:00 to 20:00,3505.75
11675,METS-WILLETS PT,Wednesday,20:00 to 00:00,1520.75
11676,MIDDLETOWN RD,Friday,00:00 to 04:00,103.75
11677,MIDDLETOWN RD,Friday,04:00 to 08:00,1434.0
11678,MIDDLETOWN RD,Friday,08:00 to 12:00,558.25
11679,MIDDLETOWN RD,Friday,12:00 to 16:00,990.25
11680,MIDDLETOWN RD,Friday,16:00 to 20:00,953.75
11681,MIDDLETOWN RD,Friday,20:00 to 00:00,242.75
11682,MIDDLETOWN RD,Monday,00:00 to 04:00,89.0
11683,MIDDLETOWN RD,Monday,04:00 to 08:00,1477.0
11684,MIDDLETOWN RD,Monday,08:00 to 12:00,533.75
11685,MIDDLETOWN RD,Monday,12:00 to 16:00,987.25
11686,MIDDLETOWN RD,Monday,16:00 to 20:00,1065.75
11687,MIDDLETOWN RD,Monday,20:00 to 00:00,262.5
11688,MIDDLETOWN RD,Saturday,00:00 to 04:00,68.75
11689,MIDDLETOWN RD,Saturday,04:00 to 08:00,231.75
11690,MIDDLETOWN RD,Saturday,08:00 to 12:00,268.5
11691,MIDDLETOWN RD,Saturday,12:00 to 16:00,339.25
11692,MIDDLETOWN RD,Saturday,16:00 to 20:00,282.25
11693,MIDDLETOWN RD,Saturday,20:00 to 00:00,165.25
11694,MIDDLETOWN RD,Sunday,00:00 to 04:00,50.5
11695,MIDDLETOWN RD,Sunday,04:00 to 08:00,190.5
11696,MIDDLETOWN RD,Sunday,08:00 to 12:00,263.75
11697,MIDDLETOWN RD,Sunday,12:00 to 16:00,341.25
11698,MIDDLETOWN RD,Sunday,16:00 to 20:00,326.25
11699,MIDDLETOWN RD,Sunday,20:00 to 00:00,173.5
11700,MIDDLETOWN RD,Thursday,00:00 to 04:00,105.5
11701,MIDDLETOWN RD,Thursday,04:00 to 08:00,1517.0
11702,MIDDLETOWN RD,Thursday,08:00 to 12:00,539.5
11703,MIDDLETOWN RD,Thursday,12:00 to 16:00,965.25
11704,MIDDLETOWN RD,Thursday,16:00 to 20:00,1106.5
11705,MIDDLETOWN RD,Thursday,20:00 to 00:00,315.0
11706,MIDDLETOWN RD,Tuesday,00:00 to 04:00,104.75
11707,MIDDLETOWN RD,Tuesday,04:00 to 08:00,1566.0
11708,MIDDLETOWN RD,Tuesday,08:00 to 12:00,573.5
11709,MIDDLETOWN RD,Tuesday,12:00 to 16:00,933.5
11710,MIDDLETOWN RD,Tuesday,16:00 to 20:00,1194.25
11711,MIDDLETOWN RD,Tuesday,20:00 to 00:00,303.0
11712,MIDDLETOWN RD,Wednesday,00:00 to 04:00,111.0
11713,MIDDLETOWN RD,Wednesday,04:00 to 08:00,1559.0
11714,MIDDLETOWN RD,Wednesday,08:00 to 12:00,517.75
11715,MIDDLETOWN RD,Wednesday,12:00 to 16:00,1009.25
11716,MIDDLETOWN RD,Wednesday,16:00 to 20:00,1106.25
11717,MIDDLETOWN RD,Wednesday,20:00 to 00:00,307.5
11718,MONTROSE AV,Friday,00:00 to 04:00,307.75
11719,MONTROSE AV,Friday,04:00 to 08:00,1293.25
11720,MONTROSE AV,Friday,08:00 to 12:00,2854.25
11721,MONTROSE AV,Friday,12:00 to 16:00,2177.0
11722,MONTROSE AV,Friday,16:00 to 20:00,2916.5
11723,MONTROSE AV,Friday,20:00 to 00:00,1441.5
11724,MONTROSE AV,Monday,00:00 to 04:00,197.0
11725,MONTROSE AV,Monday,04:00 to 08:00,1310.5
11726,MONTROSE AV,Monday,08:00 to 12:00,3087.5
11727,MONTROSE AV,Monday,12:00 to 16:00,2038.25
11728,MONTROSE AV,Monday,16:00 to 20:00,2832.75
11729,MONTROSE AV,Monday,20:00 to 00:00,1487.0
11730,MONTROSE AV,Saturday,00:00 to 04:00,313.75
11731,MONTROSE AV,Saturday,04:00 to 08:00,269.0
11732,MONTROSE AV,Saturday,08:00 to 12:00,856.0
11733,MONTROSE AV,Saturday,12:00 to 16:00,1114.25
11734,MONTROSE AV,Saturday,16:00 to 20:00,1229.5
11735,MONTROSE AV,Saturday,20:00 to 00:00,891.75
11736,MONTROSE AV,Sunday,00:00 to 04:00,264.75
11737,MONTROSE AV,Sunday,04:00 to 08:00,272.0
11738,MONTROSE AV,Sunday,08:00 to 12:00,1039.0
11739,MONTROSE AV,Sunday,12:00 to 16:00,1575.75
11740,MONTROSE AV,Sunday,16:00 to 20:00,1547.5
11741,MONTROSE AV,Sunday,20:00 to 00:00,989.75
11742,MONTROSE AV,Thursday,00:00 to 04:00,247.5
11743,MONTROSE AV,Thursday,04:00 to 08:00,1364.0
11744,MONTROSE AV,Thursday,08:00 to 12:00,3173.75
11745,MONTROSE AV,Thursday,12:00 to 16:00,2050.25
11746,MONTROSE AV,Thursday,16:00 to 20:00,2964.0
11747,MONTROSE AV,Thursday,20:00 to 00:00,1695.75
11748,MONTROSE AV,Tuesday,00:00 to 04:00,216.25
11749,MONTROSE AV,Tuesday,04:00 to 08:00,1384.25
11750,MONTROSE AV,Tuesday,08:00 to 12:00,3193.25
11751,MONTROSE AV,Tuesday,12:00 to 16:00,2023.5
11752,MONTROSE AV,Tuesday,16:00 to 20:00,2879.75
11753,MONTROSE AV,Tuesday,20:00 to 00:00,1689.75
11754,MONTROSE AV,Wednesday,00:00 to 04:00,246.0
11755,MONTROSE AV,Wednesday,04:00 to 08:00,1407.75
11756,MONTROSE AV,Wednesday,08:00 to 12:00,3199.0
11757,MONTROSE AV,Wednesday,12:00 to 16:00,2049.5
11758,MONTROSE AV,Wednesday,16:00 to 20:00,2883.25
11759,MONTROSE AV,Wednesday,20:00 to 00:00,1689.25
11760,MORGAN AV,Friday,00:00 to 04:00,264.25
11761,MORGAN AV,Friday,04:00 to 08:00,1401.75
11762,MORGAN AV,Friday,08:00 to 12:00,3153.0
11763,MORGAN AV,Friday,12:00 to 16:00,2376.5
11764,MORGAN AV,Friday,16:00 to 20:00,3055.25
11765,MORGAN AV,Friday,20:00 to 00:00,1582.5
11766,MORGAN AV,Monday,00:00 to 04:00,176.75
11767,MORGAN AV,Monday,04:00 to 08:00,1405.5
11768,MORGAN AV,Monday,08:00 to 12:00,3112.0
11769,MORGAN AV,Monday,12:00 to 16:00,2122.0
11770,MORGAN AV,Monday,16:00 to 20:00,2764.5
11771,MORGAN AV,Monday,20:00 to 00:00,1431.25
11772,MORGAN AV,Saturday,00:00 to 04:00,323.25
11773,MORGAN AV,Saturday,04:00 to 08:00,284.5
11774,MORGAN AV,Saturday,08:00 to 12:00,889.0
11775,MORGAN AV,Saturday,12:00 to 16:00,1285.0
11776,MORGAN AV,Saturday,16:00 to 20:00,1270.25
11777,MORGAN AV,Saturday,20:00 to 00:00,905.75
11778,MORGAN AV,Sunday,00:00 to 04:00,277.25
11779,MORGAN AV,Sunday,04:00 to 08:00,274.25
11780,MORGAN AV,Sunday,08:00 to 12:00,1072.75
11781,MORGAN AV,Sunday,12:00 to 16:00,1818.0
11782,MORGAN AV,Sunday,16:00 to 20:00,1602.0
11783,MORGAN AV,Sunday,20:00 to 00:00,996.25
11784,MORGAN AV,Thursday,00:00 to 04:00,229.5
11785,MORGAN AV,Thursday,04:00 to 08:00,1466.75
11786,MORGAN AV,Thursday,08:00 to 12:00,3266.25
11787,MORGAN AV,Thursday,12:00 to 16:00,2215.5
11788,MORGAN AV,Thursday,16:00 to 20:00,2985.25
11789,MORGAN AV,Thursday,20:00 to 00:00,1654.5
11790,MORGAN AV,Tuesday,00:00 to 04:00,193.0
11791,MORGAN AV,Tuesday,04:00 to 08:00,1483.75
11792,MORGAN AV,Tuesday,08:00 to 12:00,3313.75
11793,MORGAN AV,Tuesday,12:00 to 16:00,2189.75
11794,MORGAN AV,Tuesday,16:00 to 20:00,2961.25
11795,MORGAN AV,Tuesday,20:00 to 00:00,1591.5
11796,MORGAN AV,Wednesday,00:00 to 04:00,216.25
11797,MORGAN AV,Wednesday,04:00 to 08:00,1489.25
11798,MORGAN AV,Wednesday,08:00 to 12:00,3239.5
11799,MORGAN AV,Wednesday,12:00 to 16:00,2268.75
11800,MORGAN AV,Wednesday,16:00 to 20:00,2977.5
11801,MORGAN AV,Wednesday,20:00 to 00:00,1686.5
11802,MORISN AV/SNDVW,Friday,00:00 to 04:00,511.5
11803,MORISN AV/SNDVW,Friday,04:00 to 08:00,2467.25
11804,MORISN AV/SNDVW,Friday,08:00 to 12:00,2199.75
11805,MORISN AV/SNDVW,Friday,12:00 to 16:00,2357.0
11806,MORISN AV/SNDVW,Friday,16:00 to 20:00,2896.0
11807,MORISN AV/SNDVW,Friday,20:00 to 00:00,1166.25
11808,MORISN AV/SNDVW,Monday,00:00 to 04:00,397.5
11809,MORISN AV/SNDVW,Monday,04:00 to 08:00,2884.5
11810,MORISN AV/SNDVW,Monday,08:00 to 12:00,2502.75
